Site;night;active.night
MetB;30.07.2020;TRUE
MetB;31.07.2020;TRUE
MetB;01.08.2020;TRUE
MetB;02.08.2020;TRUE
MetB;03.08.2020;TRUE
MetB;04.08.2020;TRUE
MetB;05.08.2020;TRUE
MetB;06.08.2020;TRUE
MetB;07.08.2020;TRUE
MetB;08.08.2020;TRUE
MetB;09.08.2020;TRUE
MetB;10.08.2020;TRUE
MetB;11.08.2020;TRUE
MetB;12.08.2020;TRUE
MetB;13.08.2020;TRUE
MetB;14.08.2020;TRUE
MetB;15.08.2020;TRUE
MetB;16.08.2020;TRUE
MetB;17.08.2020;TRUE
MetB;18.08.2020;TRUE
MetB;19.08.2020;TRUE
MetB;20.08.2020;TRUE
MetB;21.08.2020;TRUE
MetB;22.08.2020;TRUE
MetB;23.08.2020;TRUE
MetB;24.08.2020;TRUE
MetB;25.08.2020;TRUE
MetB;26.08.2020;TRUE
MetB;27.08.2020;TRUE
MetB;28.08.2020;TRUE
MetB;29.08.2020;TRUE
MetB;30.08.2020;TRUE
MetB;31.08.2020;TRUE
MetB;01.09.2020;TRUE
MetB;02.09.2020;TRUE
MetB;03.09.2020;TRUE
MetB;04.09.2020;TRUE
MetB;05.09.2020;TRUE
MetB;06.09.2020;TRUE
MetB;07.09.2020;TRUE
MetB;08.09.2020;TRUE
MetB;09.09.2020;TRUE
MetB;10.09.2020;TRUE
MetB;11.09.2020;TRUE
MetB;12.09.2020;TRUE
MetB;13.09.2020;TRUE
MetB;14.09.2020;TRUE
MetB;15.09.2020;TRUE
MetB;16.09.2020;TRUE
MetB;17.09.2020;TRUE
MetB;18.09.2020;TRUE
MetB;19.09.2020;TRUE
MetB;20.09.2020;TRUE
MetB;21.09.2020;TRUE
MetB;22.09.2020;TRUE
MetB;23.09.2020;TRUE
P02;01.07.2020;TRUE
P02;02.07.2020;TRUE
P02;03.07.2020;TRUE
P02;04.07.2020;TRUE
P02;05.07.2020;TRUE
P02;06.07.2020;TRUE
P02;07.07.2020;TRUE
P02;08.07.2020;TRUE
P02;09.07.2020;TRUE
P02;10.07.2020;TRUE
P02;11.07.2020;TRUE
P02;12.07.2020;TRUE
P02;13.07.2020;TRUE
P02;14.07.2020;TRUE
P02;15.07.2020;TRUE
P02;16.07.2020;TRUE
P02;17.07.2020;TRUE
P02;18.07.2020;TRUE
P02;19.07.2020;TRUE
P02;20.07.2020;TRUE
P02;31.07.2020;TRUE
P02;01.08.2020;TRUE
P02;02.08.2020;TRUE
P02;03.08.2020;TRUE
P02;04.08.2020;TRUE
P02;05.08.2020;TRUE
P02;06.08.2020;TRUE
P02;07.08.2020;TRUE
P02;08.08.2020;TRUE
P02;09.08.2020;TRUE
P02;10.08.2020;TRUE
P02;11.08.2020;TRUE
P02;12.08.2020;TRUE
P02;13.08.2020;TRUE
P02;14.08.2020;TRUE
P02;15.08.2020;TRUE
P02;16.08.2020;TRUE
P02;17.08.2020;TRUE
P02;18.08.2020;TRUE
P02;19.08.2020;TRUE
P02;30.08.2020;TRUE
P02;31.08.2020;TRUE
P02;01.09.2020;TRUE
P02;02.09.2020;TRUE
P02;03.09.2020;TRUE
P02;04.09.2020;TRUE
P02;05.09.2020;TRUE
P02;06.09.2020;TRUE
P02;07.09.2020;TRUE
P02;08.09.2020;TRUE
P02;09.09.2020;TRUE
P02;10.09.2020;TRUE
P02;11.09.2020;TRUE
P02;12.09.2020;TRUE
P02;13.09.2020;TRUE
P02;14.09.2020;TRUE
P02;15.09.2020;TRUE
P02;16.09.2020;TRUE
P02;17.09.2020;TRUE
P02;18.09.2020;TRUE
P04;11.07.2020;TRUE
P04;12.07.2020;TRUE
P04;13.07.2020;TRUE
P04;14.07.2020;TRUE
P04;15.07.2020;TRUE
P04;16.07.2020;TRUE
P04;17.07.2020;TRUE
P04;18.07.2020;TRUE
P04;19.07.2020;TRUE
P04;20.07.2020;TRUE
P04;21.07.2020;TRUE
P04;22.07.2020;TRUE
P04;23.07.2020;TRUE
P04;24.07.2020;TRUE
P04;25.07.2020;TRUE
P04;26.07.2020;TRUE
P04;27.07.2020;TRUE
P04;28.07.2020;TRUE
P04;29.07.2020;TRUE
P04;30.07.2020;TRUE
P04;10.08.2020;TRUE
P04;11.08.2020;TRUE
P04;12.08.2020;TRUE
P04;13.08.2020;TRUE
P04;14.08.2020;TRUE
P04;15.08.2020;TRUE
P04;16.08.2020;TRUE
P04;17.08.2020;TRUE
P04;18.08.2020;TRUE
P04;19.08.2020;TRUE
P04;20.08.2020;TRUE
P04;21.08.2020;TRUE
P04;22.08.2020;TRUE
P04;23.08.2020;TRUE
P04;24.08.2020;TRUE
P04;25.08.2020;TRUE
P04;26.08.2020;TRUE
P04;27.08.2020;TRUE
P04;28.08.2020;TRUE
P04;29.08.2020;TRUE
P04;09.09.2020;TRUE
P04;10.09.2020;TRUE
P04;11.09.2020;TRUE
P04;12.09.2020;TRUE
P04;13.09.2020;TRUE
P04;14.09.2020;TRUE
P04;15.09.2020;TRUE
P04;16.09.2020;TRUE
P04;17.09.2020;TRUE
P04;18.09.2020;TRUE
P04;19.09.2020;TRUE
P04;20.09.2020;TRUE
P04;21.09.2020;TRUE
P04;22.09.2020;TRUE
P04;23.09.2020;TRUE
P04;24.09.2020;TRUE
P04;25.09.2020;TRUE
P04;27.09.2020;TRUE
P08;01.07.2020;TRUE
P08;02.07.2020;TRUE
P08;03.07.2020;TRUE
P08;04.07.2020;TRUE
P08;05.07.2020;TRUE
P08;06.07.2020;TRUE
P08;07.07.2020;TRUE
P08;08.07.2020;TRUE
P08;09.07.2020;TRUE
P08;10.07.2020;TRUE
P08;11.07.2020;TRUE
P08;12.07.2020;TRUE
P08;13.07.2020;TRUE
P08;14.07.2020;TRUE
P08;15.07.2020;TRUE
P08;16.07.2020;TRUE
P08;17.07.2020;TRUE
P08;18.07.2020;TRUE
P08;19.07.2020;TRUE
P08;20.07.2020;TRUE
P08;31.07.2020;TRUE
P08;01.08.2020;TRUE
P08;02.08.2020;TRUE
P08;03.08.2020;TRUE
P08;04.08.2020;TRUE
P08;05.08.2020;TRUE
P08;06.08.2020;TRUE
P08;07.08.2020;TRUE
P08;08.08.2020;TRUE
P08;09.08.2020;TRUE
P08;10.08.2020;TRUE
P08;11.08.2020;TRUE
P08;12.08.2020;TRUE
P08;13.08.2020;TRUE
P08;14.08.2020;TRUE
P08;15.08.2020;TRUE
P08;16.08.2020;TRUE
P08;17.08.2020;TRUE
P08;18.08.2020;TRUE
P08;19.08.2020;TRUE
P08;30.08.2020;TRUE
P08;31.08.2020;TRUE
P08;01.09.2020;TRUE
P08;02.09.2020;TRUE
P08;03.09.2020;TRUE
P08;04.09.2020;TRUE
P08;05.09.2020;TRUE
P08;06.09.2020;TRUE
P08;07.09.2020;TRUE
P08;08.09.2020;TRUE
P08;09.09.2020;TRUE
P08;10.09.2020;TRUE
P08;11.09.2020;TRUE
P08;12.09.2020;TRUE
P08;13.09.2020;TRUE
P08;14.09.2020;TRUE
P08;15.09.2020;TRUE
P08;16.09.2020;TRUE
P08;17.09.2020;TRUE
P08;18.09.2020;TRUE
P09;11.07.2020;TRUE
P09;12.07.2020;TRUE
P09;13.07.2020;TRUE
P09;14.07.2020;TRUE
P09;15.07.2020;TRUE
P09;16.07.2020;TRUE
P09;17.07.2020;TRUE
P09;18.07.2020;TRUE
P09;19.07.2020;TRUE
P09;20.07.2020;TRUE
P09;21.07.2020;TRUE
P09;22.07.2020;TRUE
P09;23.07.2020;TRUE
P09;24.07.2020;TRUE
P09;25.07.2020;TRUE
P09;26.07.2020;TRUE
P09;27.07.2020;TRUE
P09;28.07.2020;TRUE
P09;29.07.2020;TRUE
P09;30.07.2020;TRUE
P09;10.08.2020;TRUE
P09;11.08.2020;TRUE
P09;12.08.2020;TRUE
P09;13.08.2020;TRUE
P09;14.08.2020;TRUE
P09;15.08.2020;TRUE
P09;16.08.2020;TRUE
P09;17.08.2020;TRUE
P09;18.08.2020;TRUE
P09;19.08.2020;TRUE
P09;20.08.2020;TRUE
P09;21.08.2020;TRUE
P09;22.08.2020;TRUE
P09;23.08.2020;TRUE
P09;24.08.2020;TRUE
P09;25.08.2020;TRUE
P09;26.08.2020;TRUE
P09;27.08.2020;TRUE
P09;28.08.2020;TRUE
P09;29.08.2020;TRUE
P09;09.09.2020;TRUE
P09;10.09.2020;TRUE
P09;11.09.2020;TRUE
P09;12.09.2020;TRUE
P09;13.09.2020;TRUE
P09;14.09.2020;TRUE
P09;15.09.2020;TRUE
P09;16.09.2020;TRUE
P09;17.09.2020;TRUE
P09;18.09.2020;TRUE
P09;19.09.2020;TRUE
P09;20.09.2020;TRUE
P09;21.09.2020;TRUE
P09;22.09.2020;TRUE
P09;23.09.2020;TRUE
P09;24.09.2020;TRUE
P09;25.09.2020;TRUE
P09;26.09.2020;TRUE
P09;27.09.2020;TRUE
P09;28.09.2020;TRUE
P10;01.07.2020;TRUE
P10;02.07.2020;TRUE
P10;03.07.2020;TRUE
P10;04.07.2020;TRUE
P10;05.07.2020;TRUE
P10;06.07.2020;TRUE
P10;07.07.2020;TRUE
P10;08.07.2020;TRUE
P10;09.07.2020;TRUE
P10;10.07.2020;TRUE
P10;11.07.2020;TRUE
P10;12.07.2020;TRUE
P10;13.07.2020;TRUE
P10;14.07.2020;TRUE
P10;15.07.2020;TRUE
P10;16.07.2020;TRUE
P10;17.07.2020;TRUE
P10;18.07.2020;TRUE
P10;19.07.2020;TRUE
P10;20.07.2020;TRUE
P10;31.07.2020;TRUE
P10;01.08.2020;TRUE
P10;02.08.2020;TRUE
P10;03.08.2020;TRUE
P10;04.08.2020;TRUE
P10;05.08.2020;TRUE
P10;06.08.2020;TRUE
P10;07.08.2020;TRUE
P10;08.08.2020;TRUE
P10;09.08.2020;TRUE
P10;10.08.2020;TRUE
P10;11.08.2020;TRUE
P10;12.08.2020;TRUE
P10;13.08.2020;TRUE
P10;14.08.2020;TRUE
P10;15.08.2020;TRUE
P10;16.08.2020;TRUE
P10;17.08.2020;TRUE
P10;18.08.2020;TRUE
P10;19.08.2020;TRUE
P10;30.08.2020;TRUE
P10;31.08.2020;TRUE
P10;01.09.2020;TRUE
P10;02.09.2020;TRUE
P10;03.09.2020;TRUE
P10;04.09.2020;TRUE
P10;05.09.2020;TRUE
P10;06.09.2020;TRUE
P10;07.09.2020;TRUE
P10;08.09.2020;TRUE
P10;09.09.2020;TRUE
P10;10.09.2020;TRUE
P10;11.09.2020;TRUE
P10;12.09.2020;TRUE
P10;13.09.2020;TRUE
P10;14.09.2020;TRUE
P10;15.09.2020;TRUE
P10;16.09.2020;TRUE
P10;17.09.2020;TRUE
P10;18.09.2020;TRUE
P11;16.07.2020;TRUE
P11;17.07.2020;TRUE
P11;18.07.2020;TRUE
P11;19.07.2020;TRUE
P11;20.07.2020;TRUE
P11;21.07.2020;TRUE
P11;22.07.2020;TRUE
P11;23.07.2020;TRUE
P11;24.07.2020;TRUE
P11;25.07.2020;TRUE
P11;26.07.2020;TRUE
P11;27.07.2020;TRUE
P11;28.07.2020;TRUE
P11;29.07.2020;TRUE
P11;30.07.2020;TRUE
P11;31.07.2020;TRUE
P11;01.08.2020;TRUE
P11;02.08.2020;TRUE
P11;03.08.2020;TRUE
P11;04.08.2020;TRUE
P11;10.08.2020;TRUE
P11;11.08.2020;TRUE
P11;12.08.2020;TRUE
P11;13.08.2020;TRUE
P11;14.08.2020;TRUE
P11;15.08.2020;TRUE
P11;16.08.2020;TRUE
P11;17.08.2020;TRUE
P11;18.08.2020;TRUE
P11;19.08.2020;TRUE
P11;20.08.2020;TRUE
P11;21.08.2020;TRUE
P11;22.08.2020;TRUE
P11;23.08.2020;TRUE
P11;24.08.2020;TRUE
P11;25.08.2020;TRUE
P11;26.08.2020;TRUE
P11;27.08.2020;TRUE
P11;28.08.2020;TRUE
P11;29.08.2020;TRUE
P11;09.09.2020;TRUE
P11;10.09.2020;TRUE
P11;11.09.2020;TRUE
P11;12.09.2020;TRUE
P11;13.09.2020;TRUE
P11;14.09.2020;TRUE
P11;15.09.2020;TRUE
P11;16.09.2020;TRUE
P11;17.09.2020;TRUE
P11;18.09.2020;TRUE
P11;19.09.2020;TRUE
P11;20.09.2020;TRUE
P11;21.09.2020;TRUE
P11;22.09.2020;TRUE
P11;23.09.2020;TRUE
P11;24.09.2020;TRUE
P11;25.09.2020;TRUE
P11;26.09.2020;TRUE
P11;27.09.2020;TRUE
P11;28.09.2020;TRUE
P14;12.07.2020;TRUE
P14;13.07.2020;TRUE
P14;14.07.2020;TRUE
P14;15.07.2020;TRUE
P14;16.07.2020;TRUE
P14;17.07.2020;TRUE
P14;18.07.2020;TRUE
P14;19.07.2020;TRUE
P14;20.07.2020;TRUE
P14;21.07.2020;TRUE
P14;22.07.2020;TRUE
P14;23.07.2020;TRUE
P14;24.07.2020;TRUE
P14;25.07.2020;TRUE
P14;26.07.2020;TRUE
P14;27.07.2020;TRUE
P14;28.07.2020;TRUE
P14;29.07.2020;TRUE
P14;30.07.2020;TRUE
P14;31.07.2020;TRUE
P14;10.08.2020;TRUE
P14;11.08.2020;TRUE
P14;12.08.2020;TRUE
P14;13.08.2020;TRUE
P14;14.08.2020;TRUE
P14;15.08.2020;TRUE
P14;16.08.2020;TRUE
P14;17.08.2020;TRUE
P14;18.08.2020;TRUE
P14;19.08.2020;TRUE
P14;20.08.2020;TRUE
P14;21.08.2020;TRUE
P14;22.08.2020;TRUE
P14;23.08.2020;TRUE
P14;24.08.2020;TRUE
P14;25.08.2020;TRUE
P14;26.08.2020;TRUE
P14;27.08.2020;TRUE
P14;28.08.2020;TRUE
P14;29.08.2020;TRUE
P14;09.09.2020;TRUE
P14;10.09.2020;TRUE
P14;11.09.2020;TRUE
P14;12.09.2020;TRUE
P14;13.09.2020;TRUE
P14;14.09.2020;TRUE
P14;15.09.2020;TRUE
P14;16.09.2020;TRUE
P14;17.09.2020;TRUE
P14;18.09.2020;TRUE
P14;19.09.2020;TRUE
P14;20.09.2020;TRUE
P14;21.09.2020;TRUE
P14;22.09.2020;TRUE
P14;23.09.2020;TRUE
P14;24.09.2020;TRUE
P14;25.09.2020;TRUE
P14;26.09.2020;TRUE
P14;27.09.2020;TRUE
P14;28.09.2020;TRUE
C04;28.09.2020;TRUE
P04;28.09.2020;TRUE
P04;29.09.2020;TRUE
